         612 function calls (607 primitive calls) in 0.002 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 /Users/aaditnagori/Documents/AllDigital/alldigital-assessment/main.py:103(predict)
        1    0.000    0.000    0.002    0.002 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/model_selection/_search.py:577(predict)
        1    0.000    0.000    0.002    0.002 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/pipeline.py:549(predict)
        1    0.000    0.000    0.001    0.001 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/utils/_set_output.py:311(wrapped)
        1    0.000    0.000    0.001    0.001 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/preprocessing/_data.py:1027(transform)
        2    0.000    0.000    0.001    0.001 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/base.py:537(_validate_data)
        2    0.000    0.000    0.001    0.001 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/utils/validation.py:718(check_array)
        2    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/utils/validation.py:93(_assert_all_finite)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/linear_model/_base.py:367(predict)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/linear_model/_base.py:341(decision_function)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/logging/__init__.py:2208(info)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/logging/__init__.py:1529(info)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/logging/__init__.py:1660(_log)
      3/2    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/utils/_available_if.py:36(__get__)
        2    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/numpy/core/fromnumeric.py:2177(sum)
        3    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/utils/validation.py:1587(check_is_fitted)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/logging/__init__.py:1686(handle)
        2    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
      3/2    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/utils/_available_if.py:24(_check)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/logging/__init__.py:1746(callHandlers)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/logging/__init__.py:1011(handle)
        2    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        2    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/utils/_array_api.py:730(_asarray_with_order)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/pydantic/main.py:1050(__str__)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/logging/__init__.py:1266(emit)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/logging/__init__.py:1148(emit)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/pydantic/_internal/_repr.py:55(__repr_str__)
        2    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/numpy/core/_ufunc_config.py:430(__enter__)
    39/38    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        3    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/utils/_array_api.py:427(isdtype)
        3    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/utils/_array_api.py:189(isdtype)
        2    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/utils/validation.py:364(_num_samples)
        3    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/utils/validation.py:1549(_is_fitted)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/model_selection/_search.py:373(check)
      5/3    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/utils/_array_api.py:201(_isdtype_single)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/logging/__init__.py:1645(makeRecord)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/logging/__init__.py:988(format)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/logging/__init__.py:690(format)
       25    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/utils/_array_api.py:372(__getattr__)
        4    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/utils/_array_api.py:177(_is_numpy_namespace)
        1    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        7    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
        4    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/numpy/core/_ufunc_config.py:33(seterr)
       43    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/logging/__init__.py:622(formatTime)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/pydantic/main.py:830(__setattr__)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/logging/__init__.py:298(__init__)
       57    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        2    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/warnings.py:484(__enter__)
        1    0.000    0.000    0.000    0.000 {built-in method time.strftime}
       11    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/pydantic/_internal/_repr.py:56(<genexpr>)
        2    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/base.py:448(_check_feature_names)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/utils/_set_output.py:262(_wrap_data_with_container)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/utils/extmath.py:161(safe_sparse_dot)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        2    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/base.py:402(_check_n_features)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/utils/_set_output.py:227(_get_output_config)
       11    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/pydantic/main.py:1025(__repr_args__)
        2    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/pipeline.py:275(_iter)
        3    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/utils/_array_api.py:210(<genexpr>)
        2    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/numpy/core/fromnumeric.py:53(_wrapfunc)
        2    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/utils/validation.py:2232(_get_feature_names)
       12    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/_config.py:32(get_config)
        3    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/inspect.py:302(isclass)
        4    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/numpy/core/_ufunc_config.py:132(geterr)
